datetime,open,high,low,close,volume
2026-06-11 00:00:00,1.39451003074646,1.3947900533676147,1.3940999507904053,1.3947800397872925,0
2026-06-11 00:05:00,1.3947800397872925,1.394950032234192,1.3944000005722046,1.3948899507522583,0
2026-06-11 00:10:00,1.394819974899292,1.3949799537658691,1.3944000005722046,1.3944000005722046,0
2026-06-11 00:15:00,1.3948700428009033,1.395009994506836,1.3940000534057617,1.3940000534057617,0
2026-06-11 00:20:00,1.3945200443267822,1.3950200080871582,1.3940999507904053,1.3948400020599365,0
2026-06-11 00:25:00,1.3948400020599365,1.3948999643325806,1.3940000534057617,1.3940999507904053,0
2026-06-11 00:30:00,1.394569993019104,1.3947999477386475,1.3940999507904053,1.3944000005722046,0
2026-06-11 00:35:00,1.3947399854660034,1.3947499990463257,1.3940999507904053,1.3940999507904053,0
2026-06-11 00:40:00,1.3946199417114258,1.394700050354004,1.3940000534057617,1.3945000171661377,0
2026-06-11 00:45:00,1.3944900035858154,1.3947199583053589,1.3940999507904053,1.3946800231933594,0
2026-06-11 00:50:00,1.3942999839782715,1.394700050354004,1.3941999673843384,1.3945300579071045,0
2026-06-11 00:55:00,1.3945300579071045,1.3948500156402588,1.3940999507904053,1.3946900367736816,0
2026-06-11 01:00:00,1.3946800231933594,1.3947199583053589,1.3938000202178955,1.3940000534057617,0
2026-06-11 01:05:00,1.394279956817627,1.3944799900054932,1.3938000202178955,1.3944200277328491,0
2026-06-11 01:10:00,1.3940999507904053,1.3946000337600708,1.3938000202178955,1.3942999839782715,0
2026-06-11 01:15:00,1.3942999839782715,1.39437997341156,1.3937000036239624,1.3938000202178955,0
2026-06-11 01:20:00,1.3939000368118286,1.394279956817627,1.3935999870300293,1.3941500186920166,0
2026-06-11 01:25:00,1.3941500186920166,1.394219994544983,1.3935999870300293,1.3941500186920166,0
2026-06-11 01:30:00,1.3941099643707275,1.3942999839782715,1.3937000036239624,1.3939000368118286,0
2026-06-11 01:35:00,1.3941999673843384,1.3943400382995605,1.3937000036239624,1.3939000368118286,0
2026-06-11 01:40:00,1.3941700458526611,1.3942400217056274,1.3935999870300293,1.3941600322723389,0
