datetime,open,high,low,close,volume
2026-06-11 00:00:00,1.2072999477386475,1.2077800035476685,1.2070200443267822,1.2074300050735474,0
2026-06-11 00:05:00,1.2074099779129028,1.2074400186538696,1.206820011138916,1.2073299884796143,0
2026-06-11 00:10:00,1.2073400020599365,1.2076300382614136,1.2069400548934937,1.2075899839401245,0
2026-06-11 00:15:00,1.2075799703598022,1.2076900005340576,1.2069900035858154,1.2076900005340576,0
2026-06-11 00:20:00,1.2077100276947021,1.2079600095748901,1.2068400382995605,1.207129955291748,0
2026-06-11 00:25:00,1.207170009613037,1.2074400186538696,1.206760048866272,1.207260012626648,0
2026-06-11 00:30:00,1.207260012626648,1.2073899507522583,1.2067300081253052,1.207069993019104,0
2026-06-11 00:35:00,1.2070800065994263,1.207170009613037,1.2066600322723389,1.2069300413131714,0
2026-06-11 00:40:00,1.2069200277328491,1.2071000337600708,1.2065800428390503,1.2069599628448486,0
2026-06-11 00:45:00,1.206969976425171,1.207069993019104,1.2064399719238281,1.2069599628448486,0
2026-06-11 00:50:00,1.2069599628448486,1.2070000171661377,1.2065399885177612,1.2068599462509155,0
2026-06-11 00:55:00,1.2068599462509155,1.2071800231933594,1.206470012664795,1.2071000337600708,0
2026-06-11 01:00:00,1.2071199417114258,1.2071599960327148,1.2063499689102173,1.2067699432373047,0
2026-06-11 01:05:00,1.2068300247192383,1.2069499492645264,1.2064399719238281,1.2067999839782715,0
2026-06-11 01:10:00,1.2067899703979492,1.2070200443267822,1.2064000368118286,1.2070000171661377,0
2026-06-11 01:15:00,1.2070000171661377,1.207170009613037,1.2065099477767944,1.2068500518798828,0
2026-06-11 01:20:00,1.2068400382995605,1.2071599960327148,1.2064199447631836,1.207129955291748,0
2026-06-11 01:25:00,1.2071399688720703,1.2073099613189697,1.2066600322723389,1.2070499658584595,0
2026-06-11 01:30:00,1.2071000337600708,1.2071599960327148,1.206629991531372,1.2071000337600708,0
2026-06-11 01:35:00,1.2070599794387817,1.2073899507522583,1.2069599628448486,1.2071800231933594,0
2026-06-11 01:40:00,1.2071800231933594,1.2071900367736816,1.2065900564193726,1.2069599628448486,0
2026-06-11 01:45:00,1.2069499492645264,1.2070800065994263,1.2066099643707275,1.2069499492645264,0
2026-06-11 01:50:00,1.2069499492645264,1.2070300579071045,1.2064100503921509,1.2067999839782715,0
2026-06-11 01:55:00,1.2067699432373047,1.2069200277328491,1.2064299583435059,1.2068599462509155,0
2026-06-11 02:00:00,1.20687997341156,1.2071199417114258,1.2064599990844727,1.2070200443267822,0
2026-06-11 02:05:00,1.2070000171661377,1.2074700593948364,1.2063699960708618,1.207319974899292,0
2026-06-11 02:10:00,1.2072399854660034,1.2073700428009033,1.2066899538040161,1.2071399688720703,0
2026-06-11 02:15:00,1.2071399688720703,1.207360029220581,1.2067699432373047,1.207170009613037,0
2026-06-11 02:20:00,1.2072199583053589,1.2072900533676147,1.2068099975585938,1.207170009613037,0
2026-06-11 02:25:00,1.2071499824523926,1.2072499990463257,1.2066899538040161,1.2071399688720703,0
2026-06-11 02:30:00,1.2071399688720703,1.207200050354004,1.2065600156784058,1.2071000337600708,0
2026-06-11 02:35:00,1.207069993019104,1.2073899507522583,1.2066400051116943,1.207360029220581,0
2026-06-11 02:40:00,1.207319974899292,1.2075400352478027,1.2069799900054932,1.2074099779129028,0
2026-06-11 02:45:00,1.2073800563812256,1.2076499462127686,1.2070300579071045,1.2075899839401245,0
2026-06-11 02:50:00,1.2075799703598022,1.2077000141143799,1.2071599960327148,1.2074400186538696,0
2026-06-11 02:55:00,1.2074899673461914,1.2076200246810913,1.2070300579071045,1.2074999809265137,0
2026-06-11 03:00:00,1.2074400186538696,1.2077000141143799,1.2071399688720703,1.2076499462127686,0
2026-06-11 03:05:00,1.2076599597930908,1.2077900171279907,1.2072999477386475,1.207550048828125,0
2026-06-11 03:10:00,1.2075200080871582,1.207610011100769,1.2069000005722046,1.2072800397872925,0
2026-06-11 03:15:00,1.2072900533676147,1.20756995677948,1.2069100141525269,1.207419991493225,0
2026-06-11 03:20:00,1.207419991493225,1.2074300050735474,1.20687997341156,1.207319974899292,0
2026-06-11 03:25:00,1.207319974899292,1.2073899507522583,1.2069300413131714,1.2073500156402588,0
2026-06-11 03:30:00,1.2073700428009033,1.20756995677948,1.2069499492645264,1.2074799537658691,0
2026-06-11 03:35:00,1.207450032234192,1.2076799869537354,1.207069993019104,1.2075999975204468,0
2026-06-11 03:40:00,1.2075999975204468,1.2076799869537354,1.2071599960327148,1.207550048828125,0
2026-06-11 03:45:00,1.2075400352478027,1.207669973373413,1.207129955291748,1.2074799537658691,0
2026-06-11 03:50:00,1.2074899673461914,1.207509994506836,1.2069799900054932,1.207419991493225,0
2026-06-11 03:55:00,1.2074300050735474,1.2074700593948364,1.2068899869918823,1.2073299884796143,0
2026-06-11 04:00:00,1.2072900533676147,1.2076300382614136,1.20701003074646,1.2075999975204468,0
2026-06-11 04:05:00,1.2075999975204468,1.207669973373413,1.207110047340393,1.2073899507522583,0
2026-06-11 04:10:00,1.2073999643325806,1.2076300382614136,1.2070000171661377,1.2076200246810913,0
2026-06-11 04:15:00,1.207610011100769,1.2079600095748901,1.2072499990463257,1.2075400352478027,0
